adoption_rate,seed,crash_freq_Carrot,price_volatility_Carrot,equilibrium_score_Carrot,mean_profit_Carrot,loss_rate_Carrot,crash_freq_Leek,price_volatility_Leek,equilibrium_score_Leek,mean_profit_Leek,loss_rate_Leek,crash_freq_Tomato,price_volatility_Tomato,equilibrium_score_Tomato,mean_profit_Tomato,loss_rate_Tomato,crash_freq_Cabbage,price_volatility_Cabbage,equilibrium_score_Cabbage,mean_profit_Cabbage,loss_rate_Cabbage,crash_freq_Big Onion (Local),price_volatility_Big Onion (Local),equilibrium_score_Big Onion (Local),mean_profit_Big Onion (Local),loss_rate_Big Onion (Local)
0.0,0,0.0,0.05886782102142256,0.9847627116708916,18797600.290517643,0.0,0.0,0.09167657026310558,0.976554319547868,14659149.30206721,0.0,0.0,0.0738363960721703,0.9779586065703478,18297718.082054414,0.0,0.0,0.05811824754526872,0.9824200738175914,10563729.122465353,0.0,0.0,0.10900863924015693,0.9735854134295393,51617184.610487364,0.0
0.0,1,0.0,0.09100490209227806,0.9790085941226017,19426690.67554983,0.0,0.0,0.05961671794814739,0.986147805827034,13945159.824524933,0.0,0.0,0.0684906223026181,0.9797130979250753,17002094.283804983,0.0,0.0,0.07998834539912332,0.9746058271633533,10596225.761892771,0.0,0.0,0.06845610308661051,0.9852432494021679,51699902.77473285,0.0
0.0,2,0.0,0.09073907492345899,0.9784357843798347,20407169.70054286,0.0,0.0,0.08126002193179448,0.9798541379918753,13920550.831780612,0.0,0.0,0.08372001737196369,0.9794621799010623,17820832.40311868,0.0,0.0,0.11560355915495195,0.9707588552535112,10557737.23314803,0.0,0.0,0.07642853653200307,0.9799821276905659,49503942.002816916,0.0
0.0,3,0.0,0.08300723551196768,0.977542210110677,19141050.261398707,0.0,0.0,0.09487571915569197,0.9745968795246979,13973624.847150207,0.0,0.0,0.08995189517652481,0.9799827529198023,17905765.848888084,0.0,0.0,0.05791092991650996,0.9825825165625245,10827933.201063052,0.0,0.0,0.12386117373533999,0.9698345597106129,49163370.41411845,0.0
0.0,4,0.0,0.07527057485911669,0.9805161677762495,19973073.322123718,0.0,0.0,0.08556540813349368,0.978958930490744,13831442.769496439,0.0,0.0,0.060797993176838226,0.98073705163744,17969170.444859624,0.0,0.0,0.13143809358383837,0.9706968358944655,10794860.641379358,0.0,0.0,0.09984738418691513,0.9745549857315868,47412211.42940906,0.0
0.0,5,0.0,0.08521871762447482,0.9804755652128524,18794755.261363115,0.0,0.0,0.08232401502619505,0.9773960008563427,13801672.329977944,0.0,0.0,0.06207966415195267,0.9812736632145135,16719806.009602481,0.0,0.0,0.09776132263313672,0.9763649597835703,10766472.19534744,0.0,0.0,0.05593158896541338,0.9827237414237713,49659495.49958497,0.0
0.0,6,0.0,0.10029476147422872,0.9742040335969747,19052428.672882438,0.0,0.0,0.10673763199532471,0.9716882461205626,14047177.019577922,0.0,0.0,0.10885925151853551,0.976233443076412,17549755.35801756,0.0,0.0,0.11286260966626017,0.9781214279178018,10953313.749574568,0.0,0.0,0.10632091462557783,0.9744107905011404,48812467.86563925,0.0
0.0,7,0.0,0.07482758116128094,0.982660810227313,18762250.96093109,0.0,0.0,0.08755499655735388,0.9808806927910348,13629989.141475871,0.0,0.0,0.06662047070738616,0.9836278218463774,17391603.32971959,0.0,0.0,0.09089413429869335,0.9779293860587505,10573150.916326655,0.0,0.0,0.0630997932708695,0.9826309813570594,50473638.21024919,0.0
0.0,8,0.0,0.06512073280211948,0.9823930184731413,19635567.971769154,0.0,0.0,0.10358945670416085,0.977415797518615,13676706.634641573,0.0,0.0,0.10633289982563997,0.9748022893151335,18047603.388322387,0.0,0.0,0.11129933444052599,0.9748964152666618,10613119.2735199,0.0,0.0,0.12359014994759433,0.9698676831103121,49738237.86079685,0.0
0.0,9,0.0,0.0671560415268371,0.9835266197904988,19119847.778057113,0.0,0.0,0.0812321109678057,0.976175026484253,14613414.250158295,0.0,0.0,0.09857867211027564,0.972668267862208,17100886.000626672,0.0,0.0,0.09968128759524847,0.9765139878488386,10935001.586082526,0.0,0.0,0.07231451573425643,0.9755217651035585,50844541.108293094,0.0
