,mean_crash_freq,mean_crash_freq,mean_price_volatility,mean_price_volatility,mean_equilibrium_score,mean_equilibrium_score,mean_farmer_profit,mean_farmer_profit,mean_loss_rate,mean_loss_rate
,mean,std,mean,std,mean,std,mean,std,mean,std
adoption_rate,,,,,,,,,,
0.0,0.0,0.0,0.08679249275304915,0.01123273590599053,0.9780579621961965,0.0021685200177419435,22302421.84903858,269562.2553935138,0.0,0.0
0.1,0.0008695652173913044,0.002749806661015982,0.08702687966264297,0.011434551484110426,0.9775660566348167,0.0023251678200295416,22323321.976370003,271300.27781958325,0.0,0.0
0.3,0.0008695652173913044,0.002749806661015982,0.08750751385394633,0.01185098177110158,0.9763813566726707,0.002663190451971242,22361590.12699831,274943.8869182441,0.0,0.0
0.5,0.0017391304347826088,0.0036664088813546424,0.08802799430152639,0.012306051628386135,0.9750089195086543,0.0030450677860336924,22393750.88625268,277153.498884754,0.0,0.0
0.7,0.0017391304347826088,0.0036664088813546424,0.0885939494810794,0.012747097800927431,0.9735857546489337,0.0033942595702078303,22422674.619714193,280071.47074225685,0.0,0.0
